"id","type","name","province_id","latitude","longitude","created_at","updated_at","deleted_at"
"149","Kabupaten","Indramayu","9","-6.45","108.16667","2021-10-20 15:19:47","2021-11-26 14:43:07",NULL
"150","Kabupaten","Intan Jaya","24","-3.41016","136.70837","2021-10-20 15:19:47","2021-11-26 14:43:10",NULL
"151","Kota","Jakarta Barat","6","-6.1676","106.7673","2021-10-20 15:19:47","2021-11-26 14:43:07",NULL
"152","Kota","Jakarta Pusat","6","-6.1777","106.8403","2021-10-20 15:19:47","2021-11-26 14:43:07",NULL
"153","Kota","Jakarta Selatan","6","-6.266","106.8135","2021-10-20 15:19:47","2021-11-26 14:43:07",NULL
"154","Kota","Jakarta Timur","6","-6.2521","106.884","2021-10-20 15:19:47","2021-11-26 14:43:07",NULL
"155","Kota","Jakarta Utara","6","-6.1339","106.8823","2021-10-20 15:19:47","2021-11-26 14:43:07",NULL
"156","Kota","Jambi","8","-1.61667","103.65","2021-10-20 15:19:47","2021-11-26 14:43:06",NULL
"157","Kabupaten","Jayapura","24","-3","139.95","2021-10-20 15:19:47","2021-11-26 14:43:10",NULL
"158","Kota","Jayapura","24","-2.64647","140.77779","2021-10-20 15:19:47","2021-11-26 14:43:10",NULL
"159","Kabupaten","Jayawijaya","24","-4.08333","139.08333","2021-10-20 15:19:47","2021-11-26 14:43:10",NULL
"160","Kabupaten","Jember","11","-8.25","113.65","2021-10-20 15:19:47","2021-11-26 14:43:08",NULL
"161","Kabupaten","Jembrana","1","-8.3","114.66667","2021-10-20 15:19:47","2021-11-26 14:43:08",NULL
"162","Kabupaten","Jeneponto","28","-5.63333","119.73333","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"163","Kabupaten","Jepara","10","-6.58333","110.76667","2021-10-20 15:19:47","2021-11-26 14:43:07",NULL
"164","Kabupaten","Jombang","11","-7.55","112.25","2021-10-20 15:19:47","2021-11-26 14:43:08",NULL
"165","Kabupaten","Kaimana","25","-3.66093","133.77451","2021-10-20 15:19:47","2021-11-26 14:43:10",NULL
"166","Kabupaten","Kampar","26","0.2344","101.2131","2021-10-20 15:19:47","2021-11-26 14:43:05",NULL
"167","Kabupaten","Kapuas","14","-2.01667","114.38333","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"168","Kabupaten","Kapuas Hulu","12","0.81667","112.76667","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"169","Kabupaten","Karanganyar","10","-7.62806","111.0625","2021-10-20 15:19:47","2021-11-26 14:43:07",NULL
"170","Kabupaten","Karangasem","1","-8.3891","115.5393","2021-10-20 15:19:47","2021-11-26 14:47:07",NULL
"171","Kabupaten","Karawang","9","-6.26667","107.41667","2021-10-20 15:19:47","2021-11-26 14:43:07",NULL
"172","Kabupaten","Karimun","17","0.80764","103.41911","2021-10-20 15:19:47","2021-11-26 14:43:07",NULL
"173","Kabupaten","Karo","34","3.11667","98.3","2021-10-20 15:19:47","2021-11-26 14:43:04",NULL
"174","Kabupaten","Katingan","14","-2.06667","113.4","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"175","Kabupaten","Kaur","4","-4.78179","103.36109","2021-10-20 15:19:47","2021-11-26 14:43:06",NULL
"176","Kabupaten","Kayong Utara","12","-1.43711","110.79781","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"177","Kabupaten","Kebumen","10","-7.63917","109.66056","2021-10-20 15:19:47","2021-11-26 14:43:07",NULL
"178","Kabupaten","Kediri","11","-7.83333","112.16667","2021-10-20 15:19:47","2021-11-26 14:43:08",NULL
"179","Kota","Kediri","11","-7.83333","112.01667","2021-10-20 15:19:47","2021-11-26 14:43:08",NULL
"180","Kabupaten","Keerom","24","-3.3","140.61667","2021-10-20 15:19:47","2021-11-26 14:43:10",NULL
"181","Kabupaten","Kendal","10","-7.0256","110.1685","2021-10-20 15:19:47","2021-11-26 14:43:08",NULL
"182","Kota","Kendari","30","-3.98333","122.5","2021-10-20 15:19:47","2021-11-26 14:43:10",NULL
"183","Kabupaten","Kepahiang","4","-3.60194","102.56424","2021-10-20 15:19:47","2021-11-26 14:43:06",NULL
"184","Kabupaten","Kepulauan Anambas","17","3","106","2021-10-20 15:19:47","2021-11-26 14:43:07",NULL
"185","Kabupaten","Kepulauan Aru","19","-6.17059","134.46991","2021-10-20 15:19:47","2021-11-26 14:43:10",NULL
"186","Kabupaten","Kepulauan Mentawai","32","1.98917","99.51889","2021-10-20 15:19:47","2021-11-26 14:43:05",NULL
"187","Kabupaten","Kepulauan Meranti","26","0.97488","102.69539","2021-10-20 15:19:47","2021-11-26 14:43:06",NULL
"188","Kabupaten","Kepulauan Sangihe","31","3.5","125.55","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"189","Kabupaten","Kepulauan Seribu","6","-5.5985","106.55271","2021-10-20 15:19:47","2021-11-26 14:43:07",NULL
"190","Kabupaten","Kepulauan Siau Tagulandang Biaro (Sitaro)","31","2.11728","125.37512","2021-10-20 15:19:47","2021-11-26 14:50:49",NULL
"191","Kabupaten","Kepulauan Sula","20","-1.8646","125.69046","2021-10-20 15:19:47","2021-11-26 14:43:10",NULL
"192","Kabupaten","Kepulauan Talaud","31","4.31178","126.78085","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"193","Kabupaten","Kepulauan Yapen (Yapen Waropen)","24","-1.78773","136.27716","2021-10-20 15:19:47","2021-11-26 14:50:49",NULL
"194","Kabupaten","Kerinci","8","-2.03333","101.53333","2021-10-20 15:19:47","2021-11-26 14:43:06",NULL
"195","Kabupaten","Ketapang","12","-1.58333","110.5","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"196","Kabupaten","Klaten","10","-7.68333","110.61667","2021-10-20 15:19:47","2021-11-26 14:43:07",NULL
"197","Kabupaten","Klungkung","1","-8.55","115.4","2021-10-20 15:19:47","2021-11-26 14:43:08",NULL
"198","Kabupaten","Kolaka","30","-4.08333","121.66667","2021-10-20 15:19:47","2021-11-26 14:43:10",NULL
"199","Kabupaten","Kolaka Utara","30","-3.10452","121.12427","2021-10-20 15:19:47","2021-11-26 14:43:10",NULL
